Code,ID,Replicate,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Surveyors,Reef,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Coscinaraea,Cyphastrea,Dendrophyllia,Diploastrea,Echinophyllia,Echinopora,Euphyllia,Favia,Favites,Fungia,Galaxea,Gardineroseris,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobophyllia,Madracis,Merulina,Millepora,Montastraea,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Symphyllia,Trachyphyllia,Tubastraea,Turbinaria,Unknown
LA-S-D0-2000-6-28-T3,SGTMS9001-3,3,LA-S,28,6,2000,28/6/2000,1.266666667,103.7991667,Edge,Shore,0,REST,Labrador,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,29,0,0,0,0,0,10,48,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,111,0
LA-S-D0-2000-6-28-T4,SGTMS9001-4,4,LA-S,28,6,2000,28/6/2000,1.266666667,103.7991667,Edge,Shore,0,REST,Labrador,0,0,0,0,0,204,10,0,0,0,0,0,44,68,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,28,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,78,0
LA-S-D0-2000-6-28-T5,SGTMS9001-5,5,LA-S,28,6,2000,28/6/2000,1.266666667,103.7991667,Edge,Shore,0,REST,Labrador,0,0,0,0,0,126,26,0,0,0,0,0,4,50,0,0,0,0,5,0,0,0,0,0,0,45,18,0,0,21,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0
LZ-E-D0-1990-6-18-T1,SGRET2005-1,1,LZ-E,18,6,1990,18/6/1990,1.221944444,103.8591667,Slope,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D0-1990-6-18-T2,SGRET2005-2,2,LZ-E,18,6,1990,18/6/1990,1.221944444,103.8591667,Slope,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,9,0
LZ-E-D0-1990-6-18-T3,SGRET2005-3,3,LZ-E,18,6,1990,18/6/1990,1.221944444,103.8591667,Slope,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D0-1993-10-14-T1,SGRET2099-1,1,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,409,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,7,0,23,0,0,0,0,0,14,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
LZ-E-D0-1993-10-14-T2,SGRET2099-2,2,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D0-1993-10-14-T4,SGRET2099-4,4,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,61,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
LZ-E-D0-1993-10-14-T5,SGRET2099-5,5,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D0-1997-9-19-T2,SGTMS0013-2,2,LZ-E,19,9,1997,19/9/1997,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D0-1997-9-19-T3,SGTMS0013-3,3,LZ-E,19,9,1997,19/9/1997,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D0-2000-8-22-T1,SGTMS0063-1,1,LZ-E,22,8,2000,22/8/2000,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
LZ-E-D0-2000-8-22-T3,SGTMS0063-3,3,LZ-E,22,8,2000,22/8/2000,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,5,0
LZ-E-D0-2000-8-22-T4,SGTMS0063-4,4,LZ-E,22,8,2000,22/8/2000,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
LZ-E-D0-2000-8-22-T5,SGTMS0063-5,5,LZ-E,22,8,2000,22/8/2000,1.221944444,103.8591667,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,15,0
