Code,ID,Location,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Replicate,Surveyors,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown
RL-W-D6-1991-11-14-T2,SGRET2015-2,Raffles Lighthouse,RL-W,14,11,1991,14/11/1991,1.160555556,103.7405556,Slope,Fringing,6,2,REST,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,30,0,0,0,0,0,0,0,4
RL-W-D6-1991-11-14-T3,SGRET2015-3,Raffles Lighthouse,RL-W,14,11,1991,14/11/1991,1.160555556,103.7405556,Slope,Fringing,6,3,REST,0,0,0,0,0,0,15,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RL-W-D6-1991-11-14-T4,SGRET2015-4,Raffles Lighthouse,RL-W,14,11,1991,14/11/1991,1.160555556,103.7405556,Slope,Fringing,6,4,REST,0,0,0,0,0,0,0,0,0,13,21,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,28,0,0,0,0,0,12,6,0,0,0,0,9,0,0,0,44,0,0,0,0,0,0,0,5
RL-W-D6-1991-11-14-T5,SGRET2015-5,Raffles Lighthouse,RL-W,14,11,1991,14/11/1991,1.160555556,103.7405556,Slope,Fringing,6,5,REST,0,0,0,0,0,0,0,0,0,30,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,19,0,0,7,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,10
RL-W-D10-1991-11-13-T1,SGRET2016-1,Raffles Lighthouse,RL-W,13,11,1991,13/11/1991,1.160555556,103.7405556,Slope,Fringing,10,1,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
RL-W-D10-1991-11-13-T3,SGRET2016-3,Raffles Lighthouse,RL-W,13,11,1991,13/11/1991,1.160555556,103.7405556,Slope,Fringing,10,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
RL-W-D10-1991-11-13-T4,SGRET2016-4,Raffles Lighthouse,RL-W,13,11,1991,13/11/1991,1.160555556,103.7405556,Slope,Fringing,10,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,15
RL-W-D10-1991-11-13-T5,SGRET2016-5,Raffles Lighthouse,RL-W,13,11,1991,13/11/1991,1.160555556,103.7405556,Slope,Fringing,10,5,REST,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
CY-N-D0-1991-11-20-T1,SGRET2017-1,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,1,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D0-1991-11-20-T2,SGRET2017-2,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,2,REST,0,0,0,0,0,0,0,0,37,19,0,0,0,6,0,32,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
