"","spp","modgen","pastgen","RDB3.status","First.known","Last.known","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"94","Pavona clavus","Pavona","Pavona","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",14.2064516129032,31,4.87063962150564,1.665,4,0.172530190594767,NA,NA,NA,2.55,2,2000,1,"colonial","spawner","gonochore","no",0,0,1,0,1,"stress-tolerant","LC"
"95","Pavona decussata","Pavona","Pavona","NT","1881 (as Pavonia crassa; Studer)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,20,1,"colonial",NA,NA,NA,0,0,1,0,2,"generalist","VU"
"96","Pavona explanulata","Pavona","Pavona","LC","1985 (ZRC, 19850812)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,2,NA,"LC"
"97","Pavona frondifera","Pavona","Pavona","LC","1881 (as Pavonia frondifera; Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,1,NA,"LC"
"98","Pavona varians","Pavona","Pavona","VU","1995 (Loo & Chou)","2019 (Chow et al)",3.8,4,0.852447456836295,1.965,2,0.00707106781186548,NA,NA,NA,7,2,NA,NA,"colonial","spawner","gonochore","no",0,1,1,0,1,"stress-tolerant","LC"
"99","Stylocoeniella armata","Stylocoeniella","Stylocoeniella","DD","1985 (ZRC, 19850729)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"LC"
"100","Coscinaraea columna","Coscinaraea","Coscinaraea","LC","1985 (ZRC, 19850722)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,2,NA,NA,"colonial","spawner","gonochore",NA,0,1,0,1,0,NA,"LC"
"101","Coscinaraea exesa","Coscinaraea","Coscinaraea","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"102","Cladopsammia gracilis","Cladopsammia","Tubastraea","DD","1995 (as Dendrophyllia gracilis; Loo & Chou)","1995 (as Dendrophyllia gracilis; Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brooder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Duncanopsammia peltata","Duncanopsammia","Turbinaria","LC","1881 (as Turbinaria peltata; Studer)","2021 (as Turbinaria peltata; Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,1,NA,"VU"
"104","Tubastraea aurea","Tubastraea","Tubastraea","DD","1956 (as Tubastrea aurea; Purchon)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Tubastraea coccinea","Tubastraea","Tubastraea","DD","1881 (as Coenopsammia cocinnea; Studer)","2017 (BioBlitz_SIMP2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gonochore",NA,NA,NA,NA,NA,NA,NA,NA
"106","Tubastraea diaphana","Tubastraea","Tubastraea","LC","1956 (as Tubastrea diaphana; Purchon)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brooder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Tubastraea micranthus","Tubastraea","Tubastraea","LC","1881 (as Coenopsammia equiserialis; Studer)","2017 (BioBlitz_SIMP2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Turbinaria frondens","Turbinaria","Turbinaria","LC","1995 (Loo & Chou)","2020 (Kikuzawa et al)",14,1,NA,NA,NA,NA,NA,NA,NA,1,2,400,1,"colonial","spawner","gonochore",NA,0,0,1,0,0,"generalist","LC"
"109","Turbinaria irregularis","Turbinaria","Turbinaria","DD","1985 (ZRC, 19850819)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"LC"
"110","Turbinaria mesenterina","Turbinaria","Turbinaria","LC","2009 (Huang et al)","2021 (Lee et al)",19.28,1,NA,NA,NA,NA,NA,NA,NA,2.9,2,100,2,"colonial","spawner","gonochore",NA,0,0,1,0,0,"competitive","VU"
"111","Turbinaria radicalis","Turbinaria","Turbinaria","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,100,1,"colonial","spawner",NA,NA,0,1,0,0,0,NA,"NT"
"112","Turbinaria reniformis","Turbinaria","Turbinaria","NT","1995 (Loo & Chou)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,500,1,"colonial","spawner","gonochore",NA,0,0,1,0,0,NA,"VU"
"113","Turbinaria stellulata","Turbinaria","Turbinaria","DD","1987 (ZRC.1987.2174, Huang et al)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"114","Diploastrea heliopora","Diploastrea","Diploastrea","LC","1956 (Purchon)","2021 (Lee et al)",2.43239285714286,28,0.35286272005746,NA,NA,NA,NA,NA,NA,8,2,700,3,"colonial","spawner","gonochore","no",0,0,0,1,0,"stress-tolerant","NT"
"115","Euphyllia glabrescens","Euphyllia","Euphyllia","DD","1881 (as Euphyllia turgida; Studer)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,2,NA,NA,"colonial","brooder",NA,"yes",0,0,0,1,0,NA,"NT"
"116","Fimbriaphyllia ancora","Fimbriaphyllia","Euphyllia","LC","1995 (as Euphyllia ancora; Loo & Chou)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Fimbriaphyllia divisa","Fimbriaphyllia","Euphyllia","VU","1986 (ZRC, 19860506)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Fimbriaphyllia paraancora","Fimbriaphyllia","Euphyllia","DD","2020 (Lim et al)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Fimbriaphyllia paradivisa","Fimbriaphyllia","Euphyllia","DD","2020 (Ng et al)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Galaxea astreata","Galaxea","Galaxea","LC","1881 (as Galaxea clavus; Studer)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,2,200,3,"colonial","spawner","gonochore",NA,0,1,0,0,2,"stress-tolerant","VU"
"121","Galaxea fascicularis","Galaxea","Galaxea","LC","1881 (Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,2,500,3,"colonial","spawner","gonochore","no",0,0,0,1,0,"stress-tolerant","NT"
"122","Ctenactis albitentaculata","Ctenactis","Fungia","DD","1860s (record consolidated by Hoeksema & Koh 2009)","1986-91 (record consolidated by Hoeksema & Koh 2009)",NA,NA,NA,NA,NA,NA,NA,NA,NA,260,1,NA,NA,"solitary",NA,NA,NA,0,0,0,1,0,NA,"NT"
"123","Ctenactis crassa","Ctenactis","Fungia","NT","1986-91 (record consolidated by Hoeksema & Koh 2009)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,236,1,NA,NA,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"124","Ctenactis echinata","Ctenactis","Fungia","LC","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,284,1,NA,NA,"solitary","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"125","Cycloseris costulata","Cycloseris","Fungia","DD","1987 (as ?Cycloseris marginata; ZRC, 19870603)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,73,2,8,3,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"126","Cycloseris explanulata","Cycloseris","Psammocora","DD","1995 (as Psammocora explanulata; Loo & Chou)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,"solitary",NA,NA,NA,0,1,1,1,0,NA,"LC"
"127","Cycloseris mokai","Cycloseris","Lithophyllon","DD","1988 (ZRC, 19880900)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2,10,3,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"128","Cycloseris vaughani","Cycloseris","Fungia","DD","1995 (as Fungia vaughani; Loo & Chou)","1995 (as Fungia vaughani; Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,1,NA,NA,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"129","Danafungia horrida","Danafungia","Fungia","DD","1881 (as Fungia danai; Studer)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,204,1,20,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"130","Danafungia scruposa","Danafungia","Fungia","LC","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,111,1,24,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"131","Fungia fungites","Fungia","Fungia","LC","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",2,1,NA,1.99,1,NA,0.41,1,NA,158,1,28,3,"solitary","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","NT"
"132","Heliofungia actiniformis","Heliofungia","Heliofungia","NT","1890s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",5.76,1,NA,NA,NA,NA,NA,NA,NA,142,1,20,1,"solitary",NA,NA,NA,0,0,0,1,0,"stress-tolerant","VU"
"133","Herpolitha limax","Herpolitha","Herpolitha","LC","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",10,1,NA,NA,NA,NA,NA,NA,NA,370,1,NA,NA,"colonial","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"134","Lithophyllon concinna","Lithophyllon","Fungia","LC","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1,16,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"135","Lithophyllon repanda","Lithophyllon","Fungia","LC","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,150,2,30,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"136","Lithophyllon scabra","Lithophyllon","Fungia","LC","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1,NA,NA,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"137","Lithophyllon undulatum","Lithophyllon","Lithophyllon","LC","1986-91 (record consolidated by Hoeksema & Koh 2009)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2,50,1,"colonial",NA,NA,NA,0,1,1,0,0,NA,"NT"
"138","Lobactis scutaria","Lobactis","Fungia","DD","1881 (Studer)","1995 (Loo & Chou)",9.3,4,5.32478481568348,NA,NA,NA,NA,NA,NA,169,1,17,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"139","Pleuractis granulosa","Pleuractis","Fungia","DD","1986-91 (consolidated by Hoeksema & Koh 2009)","1986-91 (consolidated by Hoeksema & Koh 2009)",5.72565891472868,129,3.26914740532634,NA,NA,NA,NA,NA,NA,120,1,13.5,3,"solitary","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","LC"
"140","Pleuractis moluccensis","Pleuractis","Fungia","NT","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1,NA,NA,"solitary",NA,NA,NA,0,1,0,1,0,NA,"LC"
"141","Pleuractis paumotensis","Pleuractis","Fungia","NT","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,235,1,25,3,"solitary","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"142","Podabacia crustacea","Podabacia","Podabacia","LC","1860s (record consolidated by Hoeksema & Koh 2009)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2,150,2,"colonial",NA,"gonochore",NA,0,1,1,0,0,NA,"LC"
"143","Podabacia kunzmanni","Podabacia","Podabacia","DD","2009 (Hoeksema)","2009 (Hoeksema)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Podabacia motuporensis","Podabacia","Podabacia","DD","1986-91 (consolidated by Hoeksema & Koh 2009)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"NT"
"145","Polyphyllia talpina","Polyphyllia","Polyphyllia","VU","1860s (record consolidated by Hoeksema & Koh 2009)","2020 (Prasetia et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colonial",NA,"gonochore",NA,0,0,0,1,0,NA,"LC"
"146","Leptastrea purpurea","Leptastrea","Leptastrea","LC","1977 (Chuang)","2021 (Lee et al)",1.8,1,NA,1.63,1,NA,0.31,1,NA,5.9,2,100,1,"colonial","spawner","gonochore",NA,0,1,0,0,0,"weedy","LC"
"147","Leptastrea transversa","Leptastrea","Leptastrea","LC","1985 (ZRC, 19850726)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"LC"
"148","Oulastrea crispata","Oulastrea","Oulastrea","LC","1956 (Purchon)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,1,0,0,0,NA,"LC"
"149","Pachyseris rugosa","Pachyseris","Pachyseris","LC","1881 (as Pachyseris valenciennesii; Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,1000,3,"colonial","spawner","gonochore",NA,0,0,1,0,0,"generalist","VU"
"150","Pachyseris speciosa","Pachyseris","Pachyseris","LC","1881 (as Pachyseris speciosa & P. levicollis; Studer)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,200,1,"colonial","spawner","gonochore","no",0,1,1,0,0,"generalist","LC"
"151","Acanthastrea echinata","Acanthastrea","Acanthastrea","LC","1995 (Loo & Chou)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"152","Acanthastrea rotundoflora","Acanthastrea","Acanthastrea","DD","2009 (Huang et al)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"NT"
"153","Echinophyllia aspera","Echinophyllia","Echinophyllia","LC","1985 (ZRC, 19850805)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,1,0,0,NA,"LC"
"154","Echinophyllia echinoporoides","Echinophyllia","Echinophyllia","LC","1995 (Loo & Chou)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"LC"
"155","Echinophyllia glabra","Echinophyllia","Oxypora","VU","1985 (ZRC, 19850701)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Homophyllia bowerbanki","Homophyllia","Acanthastrea","DD","1995 (as Acanthastrea hillae; Loo & Chou)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2,200,2,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"157","Lobophyllia agaricia","Lobophyllia","Symphyllia","LC","1881 (as Symphyllia indica; Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Lobophyllia corymbosa","Lobophyllia","Lobophyllia","LC","1986 (ZRC, 19860506)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3333333333333,3,200,2,"colonial",NA,NA,"no",0,1,0,1,0,"stress-tolerant","LC"
"159","Lobophyllia flabelliformis","Lobophyllia","Lobophyllia","DD","2019 (Chow et al)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,2,200,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"160","Lobophyllia hataii","Lobophyllia","Lobophyllia","VU","1986 (ZRC, 19860506)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"161","Lobophyllia hemprichii","Lobophyllia","Lobophyllia","LC","1881 (as Mussa tenuidentata; Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.65,2,500,1,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"LC"
"162","Lobophyllia radians","Lobophyllia","Symphyllia","LC","1881 (as Symphyllia radians & S. grandis; Studer)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Lobophyllia recta","Lobophyllia","Symphyllia","LC","1956 (as Symphyllia nobilis; Purchon)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Lobophyllia valenciennesii","Lobophyllia","Symphyllia","DD","2009 (as Symphyllia valenciennesii; Huang et al)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Micromussa amakusensis","Micromussa","Acanthastrea","DD","2019 (Ng et al)","2019 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2,NA,NA,"colonial","spawner",NA,NA,0,1,0,1,0,NA,"NT"
"166","Oxypora crassispinosa","Oxypora","Oxypora","DD","1995 (as Oxypora crassispinosa; Loo & Chou)","1995 (as Oxypora crassispinosa; Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"LC"
"167","Oxypora echinata","Oxypora","Oxypora","LC","1995 (Loo & Chou)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Oxypora lacera","Oxypora","Oxypora","NT","1878 (Brüggemann)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,1,1,0,0,NA,"LC"
"169","Astrea annuligera","Astrea","Montastraea","DD","1986 (REST Survey)","1995 (as Montastrea annuligera; Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"NT"
"170","Astrea curta","Astrea","Montastraea","DD","1985 (ZRC, 19850729)","2009 (Huang et al)",2.6,2,0.14142135623731,NA,NA,NA,NA,NA,NA,8.15,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,1,0,1,1,"stress-tolerant","LC"
"171","Caulastraea echinulata","Caulastraea","Caulastraea","NT","1881 (as Dasyphyllia echinulata; Studer)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"172","Caulastraea furcata","Caulastraea","Caulastraea","DD","1977 (as Caulastrea furcata, Chuang)","2012 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,500,1,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","LC"
"173","Coelastrea incrustans","Coelastrea","Goniastrea","LC","1977 (as Goniastrea mantonae; Chuang)","2021 (as Coelastrea aspera; Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Coelastrea palauensis","Coelastrea","Goniastrea","DD","1986 (as Goniastrea palauensis; Chou & Wong)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,2,20,1,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"NT"
"175","Cyphastrea chalcidicum","Cyphastrea","Cyphastrea","LC","1956 (Purchon)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,100,1,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"176","Cyphastrea microphthalma","Cyphastrea","Cyphastrea","LC","1977 (Chuang)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"177","Cyphastrea serailia","Cyphastrea","Cyphastrea","LC","1977 (Chuang)","2020 (Kikuzawa et al)",5.9,4,3.60924738230378,NA,NA,NA,NA,NA,NA,1.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,1,"stress-tolerant","LC"
"178","Dipsastraea amicorum","Dipsastraea","Favia","DD","1985 (ZRC, 19850715)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"LC"
"179","Dipsastraea danai","Dipsastraea","Favia","DD","2009 (as Favia danae; Huang et al)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"180","Dipsastraea favus","Dipsastraea","Favia","LC","1881 (as Favia affinis; Studer)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83333333333333,3,37,1,"colonial",NA,NA,NA,0,1,0,1,0,"stress-tolerant","LC"
"181","Dipsastraea helianthoides","Dipsastraea","Favia","DD","2009 (as Favia helianthoides; Huang et al (b))","2009 (as Favia helianthoides; Huang et al (b))",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,2,NA,NA,"colonial","spawner",NA,NA,0,0,0,0,1,NA,"NT"
"182","Dipsastraea laxa","Dipsastraea","Favia","DD","1995 (as Favia laxa; Loo & Chou)","2017 (as Dipsastraea cf. laxa; REL collections)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"183","Dipsastraea lizardensis","Dipsastraea","Favia","LC","1995 (as Favia lizardensis; Loo & Chou)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.35,2,100,1,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"184","Dipsastraea maritima","Dipsastraea","Favia","DD","1995 (as Favia maritima; Loo & Chou)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"185","Dipsastraea matthaii","Dipsastraea","Favia","LC","1995 (as Favia matthaii; Loo & Chou)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","NT"
"186","Dipsastraea maxima","Dipsastraea","Favia","DD","2007 (as Favia maxima; Ang)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"187","Dipsastraea mirabilis","Dipsastraea","Favia","DD","2017 (BioBlitz_SIMP2017)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Dipsastraea pallida","Dipsastraea","Favia","VU","1977 (Chuang)","2020 (Kikuzawa et al)",4.53333333333333,3,1.20138808606267,1.43,1,NA,NA,NA,NA,8.5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","LC"
"189","Dipsastraea rotumana","Dipsastraea","Favia","DD","2009 (as Favia rotumana; Huang et al)","2009 (as Favia rotumana; Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"LC"
"190","Dipsastraea speciosa","Dipsastraea","Favia","LC","1881 (as Favia speciosa; Studer)","2021 (Lee et al)",6.37857142857143,14,1.54381075535561,NA,NA,NA,NA,NA,NA,8.7,2,75,1,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"LC"
"191","Dipsastraea veroni","Dipsastraea","Favia","DD","1995 (as Favia veroni; Loo & Chou)","2009 (as Favia veroni; Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.75,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"192","Echinopora gemmacea","Echinopora","Echinopora","LC","1995 (Loo & Chou)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,1,0,1,"generalist","LC"
"193","Echinopora hirsutissima","Echinopora","Echinopora","DD","1995 (Loo & Chou)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"LC"
"194","Echinopora horrida","Echinopora","Echinopora","LC","
1878 (Brüggemann)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,500,1,"colonial","spawner","hermaphrodite",NA,1,1,0,0,0,NA,"NT"
