"","spp","modgen","pastgen","RDB3.status","First.known","Last.known","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"24","Acropora longicyathus","Acropora","Acropora","DD","1881 (as Madrepora longecyathus; Studer)","1991 (Huang et al)",NA,NA,NA,1.27,1,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,2,0,0,0,0,"competitive","LC"
"25","Acropora loripes","Acropora","Acropora","DD","2005 (Guest et al (a))","2017 (Taira et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,50,2,"colonial","spawner","hermaphrodite",NA,2,0,1,0,0,"competitive","NT"
"26","Acropora lutkeni","Acropora","Acropora","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,600,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"27","Acropora microclados","Acropora","Acropora","DD","1881 (as Madrepora microclados; Studer)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,100,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","VU"
"28","Acropora microphthalma","Acropora","Acropora","LC","1985 (ZRC, 19850614)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,200,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"29","Acropora millepora","Acropora","Acropora","EN","1881 (as Madrepora convexa & M.millepora; Studer)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"30","Acropora muricata","Acropora","Acropora","LC","1881 (as Madrepora brachiata; Studer)","2017 (REL collections)",89.4705882352941,17,39.0075301176882,1.7125,4,0.635209939049025,1.71,1,NA,1,2,1000,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"31","Acropora nana","Acropora","Acropora","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,15,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"NT"
"32","Acropora nasuta","Acropora","Acropora","EN","1986 (ZRC, 19860826)","2009 (Huang et al)",41.9,5,14.8786760163665,1.4,1,NA,2.96,1,NA,0.8,2,80,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"NT"
"33","Acropora palmerae","Acropora","Acropora","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,200,5,"colonial","spawner","hermaphrodite",NA,1,1,0,0,0,NA,"VU"
"34","Acropora polystoma","Acropora","Acropora","DD","1987 (ZRC.1987.1512, Huang et al)","1987 (ZRC.1987.1512, Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,80,2,"colonial","spawner","hermaphrodite",NA,2,0,0,0,0,"competitive","VU"
"35","Acropora pulchra","Acropora","Acropora","DD","1985 (ZRC, 19850726)","1985 (ZRC, 19850726)",130.9,4,81.0499023236097,1.9,1,NA,NA,NA,NA,0.9,2,500,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"36","Acropora robusta","Acropora","Acropora","DD","1881 (as Madrepora nobilis; Studer)","1995 (Loo & Chou)",22.4,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"37","Acropora samoensis","Acropora","Acropora","DD","2005 (Guest et al (a))","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,100,1,"colonial","spawner","hermaphrodite",NA,2,0,0,0,1,"competitive","LC"
"38","Acropora secale","Acropora","Acropora","DD","1881 (as Madrepora secale; Studer)","2017 (BioBlitz_SIMP2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,100,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"39","Acropora selago","Acropora","Acropora","DD","1986 (ZRC, 19860909)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,75,1,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"NT"
"40","Acropora solitaryensis","Acropora","Acropora","DD","2009 (Huang et al)","2009 (Huang et al)",16.7,1,NA,1.45,1,NA,NA,NA,NA,0.8,2,300,5,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,"competitive","VU"
"41","Acropora spicifera","Acropora","Acropora","EN","1881 (as Madrepora spicifera; Studer)","2019 (Chow et al)",111,3,10.9233694435371,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"VU"
"42","Acropora subglabra","Acropora","Acropora","EN","2009 (Huang et al)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,NA,NA,"colonial",NA,"hermaphrodite",NA,1,0,0,0,0,NA,"LC"
"43","Acropora subulata","Acropora","Acropora","DD","1986 (ZRC, 19860819)","1989 (Goh et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,300,4,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,"competitive","LC"
"44","Acropora tenuis","Acropora","Acropora","DD","1986 (ZRC, 19860812)","2005 (Guest et al (a))",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","NT"
"45","Acropora valenciennesi","Acropora","Acropora","DD","2009 (Huang et al)","2009 (Huang et al)",179.333333333333,6,103.585069709233,NA,NA,NA,NA,NA,NA,1.15,2,400,3,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","LC"
"46","Acropora valida","Acropora","Acropora","LC","1956 (as Acropora variabilis; Purchon)","2020 (Loo et al)",34.3,2,15.1320851173921,1.5,2,0.254558441227157,NA,NA,NA,0.7,2,50,2,"colonial","spawner","hermaphrodite",NA,2,0,1,0,0,"competitive","LC"
"47","Acropora verweyi","Acropora","Acropora","DD","1995 (Loo & Chou)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,"competitive","VU"
"48","Acropora willisae","Acropora","Acropora","DD","1986 (ZRC, 19860826)","1986 (ZRC, 19860826)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,100,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"49","Alveopora allingi","Alveopora","Alveopora","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,2,NA,"VU"
"50","Alveopora catalai","Alveopora","Alveopora","DD","1987 (ZRC.1987.1890, Huang et al)","1987 (ZRC.1987.1890, Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,1000,3,"colonial",NA,NA,NA,1,0,0,0,0,NA,"NT"
"51","Alveopora excelsa","Alveopora","Alveopora","DD","1881 (Studer)","1961 (Chuang)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,2,200,1,"colonial",NA,NA,NA,0,0,0,0,1,NA,"EN"
"52","Alveopora fenestrata","Alveopora","Alveopora","DD","1881 (as Alveopora retusa; Studer)","1986 (ZRC, 19860400)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2,NA,NA,"colonial","spawner",NA,NA,0,0,0,1,1,"stress-tolerant","VU"
"53","Alveopora marionensis","Alveopora","Alveopora","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"VU"
"54","Alveopora spongiosa","Alveopora","Alveopora","DD","2009 (Huang et al)","2018 (REL collections)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,200,2,"colonial",NA,NA,NA,0,1,0,0,2,NA,"NT"
"55","Alveopora tizardi","Alveopora","Alveopora","DD","2009 (Huang et al)","2017 (REL collections)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2,NA,NA,"colonial","spawner",NA,NA,0,1,0,0,1,NA,"LC"
"56","Astreopora cucullata","Astreopora","Astreopora","DD","1986 (REST Survey)","2017 (REL collections)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
