spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,branching,encrusting,laminar,massive,submassive,competitive,stress-tolerant,weedy,generalist,datadeficient,iucnLC,iucnNT,iucnVU,iucnEN,iucnDD,rdb3lc,rdb3nt,rdb3vu,rdb3en,rdb3cr,rdb3nex,rdb3dd,First.known.year,First.known,Last.known.year,Last.known
Acropora nasuta,Acropora,Acropora,41.9,5,14.87867602,1.4,1,NA,1.47,1,NA,0.8,2,80,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1986,"(ZRC, 19860826)",2009,(Huang et al)
Acropora palmerae,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,200,5,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
Acropora polystoma,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,80,2,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1987,"(ZRC.1987.1512, Huang et al)",1987,"(ZRC.1987.1512, Huang et al)"
Acropora pulchra,Acropora,Acropora,130.9,4,81.04990232,1.9,1,NA,1.91,1,NA,0.9,2,500,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850726)",1985,"(ZRC, 19850726)"
Acropora robusta,Acropora,Acropora,22.4,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1881,(as Madrepora nobilis; Studer),1995,(Loo & Chou)
Acropora samoensis,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,100,1,1,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2005,(Guest et al (a)),2009,(Huang et al)
Acropora secale,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,100,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1881,(as Madrepora secale; Studer),2017,(BioBlitz_SIMP2017)
Acropora selago,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,75,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19860909)",2009,(Huang et al)
Acropora solitaryensis,Acropora,Acropora,16.7,1,NA,1.45,1,NA,1.91,1,NA,0.8,2,300,5,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2009,(Huang et al),2009,(Huang et al)
Acropora spicifera,Acropora,Acropora,111,3,10.92336944,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1881,(as Madrepora spicifera; Studer),2019,(Chow et al)
Acropora subglabra,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2009,(Huang et al),2019,(Chow et al)
Acropora subulata,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,300,4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19860819)",1989,(Goh et al)
Acropora tenuis,Acropora,Acropora,87,1,NA,1.32,1,NA,1.91,1,NA,1,2,40,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19860812)",2005,(Guest et al (a))
Acropora valenciennesi,Acropora,Acropora,179.3333333,6,103.5850697,NA,NA,NA,NA,NA,NA,1.15,2,400,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2009,(Huang et al),2009,(Huang et al)
Acropora valida,Acropora,Acropora,52.1,4,15.13208512,1.295,3,0.254558441,1.42,1,NA,0.7,2,150,3,1,1,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1956,(as Acropora variabilis; Purchon),2020,(Loo et al)
Acropora verweyi,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),2009,(Huang et al)
