spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,gf.branching,gf.encrusting,gf.laminar,gf.massive,gf.submassive,lh.competitive,lh.stress-tolerant,lh.weedy,lh.generalist,lh.datadeficient
Hydnophora microconos,Hydnophora,Hydnophora,8.9,2,3.676955262,1.37,1,NA,0.825,2,NA,5.4,2,NA,NA,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Hydnophora rigida,Hydnophora,Hydnophora,52.2,3,NA,1.38,1,NA,2.88,1,NA,5.7,2,50,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
Isopora brueggemanni,Isopora,Acropora,74.8,1,NA,NA,NA,NA,NA,NA,NA,1.3,2,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Isopora palifera,Isopora,Acropora,NA,NA,NA,1.52,1,NA,NA,NA,NA,1.05,2,NA,NA,1,0,1,0,1,1,0,0,1,0,0,0,0,1
Leptastrea purpurea,Leptastrea,Leptastrea,1.8,1,NA,1.54,2,NA,0.285,2,NA,5.9,2,100,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Leptastrea transversa,Leptastrea,Leptastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,2,NA,NA,1,1,0,0,0,1,0,1,0,0,0,0,0,1
Leptoria phrygia,Leptoria,Leptoria,10.6,1,NA,1.245,2,NA,0.93,1,NA,3.05,2,150,1,1,1,1,0,0,0,0,1,2,0,1,0,0,0
Leptoseris explanata,Leptoseris,Leptoseris,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2,25,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
Leptoseris hawaiiensis,Leptoseris,Leptoseris,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2,NA,NA,1,1,NA,0,0,1,0,0,1,0,0,0,0,1
Leptoseris scabra,Leptoseris,Leptoseris,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,2,NA,NA,1,1,NA,0,0,1,0,0,1,0,0,0,0,1
Lithophyllon concinna,Lithophyllon,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1,25,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Lithophyllon repanda,Lithophyllon,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,2,30,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Lithophyllon scabra,Lithophyllon,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1,20,1,0,1,NA,0,0,0,0,1,0,0,0,0,0,1
Lithophyllon undulatum,Lithophyllon,Lithophyllon,4.4,1,NA,1.61,1,NA,0.7,1,NA,3.7,2,60,2,1,1,NA,0,0,1,1,0,0,0,0,0,0,1
Lobactis scutaria,Lobactis,Fungia,9.3,4,5.324784816,NA,NA,NA,NA,NA,NA,169,1,17,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Lobophyllia agaricia,Lobophyllia,Symphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.75,2,80,1,1,1,NA,0,0,1,0,1,0,0,0,0,0,1
Lobophyllia corymbosa,Lobophyllia,Lobophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.33333333,3,200,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Lobophyllia flabelliformis,Lobophyllia,Lobophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,2,200,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1
Lobophyllia hataii,Lobophyllia,Lobophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,2,25,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1
Lobophyllia hemprichii,Lobophyllia,Lobophyllia,9.7,1,NA,1.24,1,NA,1.21,1,NA,21.65,2,500,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Lobophyllia radians,Lobophyllia,Symphyllia,NA,NA,NA,1.11,1,NA,NA,NA,NA,30,2,100,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Lobophyllia recta,Lobophyllia,Symphyllia,11.8,1,NA,1.04,1,NA,1.22,1,NA,12,2,120,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Lobophyllia robusta,Lobophyllia,Lobophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,1,25,1,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,1
Lobophyllia valenciennesii,Lobophyllia,Symphyllia,NA,NA,NA,1.53,1,NA,NA,NA,NA,32.5,2,15,1,1,1,NA,0,0,1,0,0,0,0,0,0,0,1
Madracis kirbyi,Madracis,Madracis,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,125,1,1,NA,NA,NA,0,1,1,0,2,0,0,0,0,1
Merulina ampliata,Merulina,Merulina,22.9,11,8.635360659,1.69,1,NA,3.86,1,NA,5,2,200,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0
Merulina scabricula,Merulina,Merulina,NA,NA,NA,1.53,1,NA,NA,NA,NA,2.65,2,300,1,1,1,NA,0,0,0,1,0,1,0,0,0,0,1
Micromussa amakusensis,Micromussa,Acanthastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2,60,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Montipora aequituberculata,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,1
Montipora angulata,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,NA,NA,1,1,NA,1,1,1,0,0,0,0,0,0,0,1
Montipora capricornis,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,1
Montipora corbettensis,Montipora,Montipora,NA,NA,NA,0.83,1,NA,NA,NA,NA,0.7,2,70,1,1,1,NA,1,0,1,0,1,1,0,0,0,0,1
Montipora crassituberculata,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,2,NA,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,1
Montipora danae,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,40,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0
Montipora digitata,Montipora,Montipora,41.494,11,33.58711247,NA,NA,NA,NA,NA,NA,0.85,2,30,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Montipora efflorescens,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,1,1,1,1,0,0,0,1,1,0,0,0,0,1
Montipora foliosa,Montipora,Montipora,32.5,1,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,1,1,1,1,0,0,1,0,0,0,0,0,0,1
Montipora grisea,Montipora,Montipora,NA,NA,NA,0.85,1,NA,NA,NA,NA,1,2,80,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
Montipora hispida,Montipora,Montipora,82,1,NA,1.04,1,NA,3.42,1,NA,1.15,2,120,1,1,1,1,1,0,1,1,0,2,0,0,0,0,1
Montipora hoffmeisteri,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,1,1,1,1,0,1,0,0,0,0,0,0,0,1
Montipora informis,Montipora,Montipora,NA,NA,NA,0.77,1,NA,NA,NA,NA,1.25,2,120,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
Montipora millepora,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,NA,NA,1,1,NA,1,0,1,0,1,0,0,0,0,0,1
Montipora mollis,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,80,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
Montipora monasteriata,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,100,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
Montipora peltiformis,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,1,0,0,2,0,0,0,0,1
Montipora samarensis,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,25,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
Montipora spongodes,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,15,1,1,1,NA,1,0,1,1,0,1,0,0,0,0,1
Montipora spumosa,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,1
Montipora stellata,Montipora,Montipora,NA,NA,NA,1.14,1,NA,NA,NA,NA,0.75,2,200,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
Montipora tuberculosa,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,0,1,1,0,0,0,0,0,1
Montipora turgescens,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,1,1,1,1,0,1,0,1,1,0,0,0,0,1
Montipora undata,Montipora,Montipora,26,1,NA,NA,NA,NA,NA,NA,NA,1,2,70,1,1,1,NA,1,0,1,1,0,1,0,0,0,0,1
Montipora venosa,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,1,1,1,1,0,0,0,1,0,0,1,0,0,0
Montipora verrucosa,Montipora,Montipora,27.65115385,13,11.40614505,1.02,1,NA,2.82,1,NA,1.1,2,40,1,1,1,1,1,0,0,1,0,2,0,0,0,1,0
Mycedium elephantotus,Mycedium,Mycedium,NA,NA,NA,1.54,1,NA,NA,NA,NA,8.75,2,300,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
Oulastrea crispata,Oulastrea,Oulastrea,12.5,1,NA,NA,NA,NA,NA,NA,NA,4.55,2,NA,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,1
Oulophyllia bennettae,Oulophyllia,Oulophyllia,6.2,1,NA,0.93,1,NA,0.58,1,NA,15.1,2,50,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Oulophyllia crispa,Oulophyllia,Oulophyllia,21,2,1.414213562,0.92,1,NA,1.93,1,NA,9.3,2,150,3,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Oxypora crassispinosa,Oxypora,Oxypora,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,2,NA,NA,1,1,NA,0,0,1,1,0,0,0,0,0,0,1
Oxypora echinata,Oxypora,Oxypora,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,2,NA,NA,1,1,NA,0,0,1,1,0,0,0,0,0,0,1
Oxypora lacera,Oxypora,Oxypora,30,1,NA,1.61,1,NA,4.83,1,NA,7.45,2,150,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
Pachyseris rugosa,Pachyseris,Pachyseris,NA,NA,NA,1.34,1,NA,NA,NA,NA,3.5,2,1000,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Pachyseris speciosa,Pachyseris,Pachyseris,31.7,2,NA,1.38,1,NA,4.38,1,NA,3.5,2,200,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
Paragoniastrea australensis,Paragoniastrea,Goniastrea,3.766666667,3,1.588500341,NA,NA,NA,NA,NA,NA,9.25,2,70,1,1,1,1,NA,0,1,0,0,1,0,1,0,0,0
Paragoniastrea russelli,Paragoniastrea,Favites,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,NA,NA,1,1,1,NA,0,1,0,0,1,0,0,0,0,1
Pavona cactus,Pavona,Pavona,28.4,4,8.689719501,1.83,1,NA,5.2,1,NA,1.2,2,1000,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
Pavona clavus,Pavona,Pavona,15.9,33,4.870639622,1.665,4,0.172530191,2.37,1,NA,2.55,2,2000,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
Pavona decussata,Pavona,Pavona,17.6,1,NA,1.67,1,NA,2.94,1,NA,2.7,2,100,2,1,1,NA,0,0,0,1,0,2,0,0,0,1,0
Pavona explanulata,Pavona,Pavona,5.3,1,NA,1.64,1,NA,0.87,1,NA,2.65,2,180,1,1,1,NA,0,0,1,1,0,2,0,0,0,0,1
Pavona frondifera,Pavona,Pavona,28,1,NA,1.62,1,NA,4.53,1,NA,2.05,2,100,1,1,1,NA,0,0,0,1,0,1,0,0,0,0,1
Pavona varians,Pavona,Pavona,3.8,4,0.852447457,1.965,2,0.007071068,0.75,1,NA,7,2,30,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0
Pectinia alcicornis,Pectinia,Pectinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,40,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1
Pectinia crassa,Pectinia,Pectinia,NA,NA,NA,0.89,1,NA,NA,NA,NA,NA,NA,80,1,1,1,NA,0,0,0,1,0,0,0,0,0,0,1
Pectinia lactuca,Pectinia,Pectinia,NA,NA,NA,1.25,1,NA,NA,NA,NA,28.75,2,100,2,1,1,1,0,0,1,1,0,1,0,0,0,0,1
Pectinia paeonia,Pectinia,Pectinia,NA,NA,NA,1.33,1,NA,NA,NA,NA,32.5,2,100,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Physogyra lichtensteini,Physogyra,Physogyra,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,100,1,1,1,NA,0,0,1,0,1,0,0,1,0,0,0
Physophyllia ayleni,Physophyllia,Pectinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,NA,NA,1,1,NA,0,0,1,1,0,0,0,0,0,0,1
Platygyra daedalea,Platygyra,Platygyra,22,1,NA,NA,NA,NA,NA,NA,NA,7.9,2,90,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Platygyra lamellina,Platygyra,Platygyra,7.4,1,NA,1.05,1,NA,0.78,1,NA,8.6,2,80,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Platygyra pini,Platygyra,Platygyra,NA,NA,NA,0.96,1,NA,NA,NA,NA,5.95,2,60,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Platygyra ryukyuensis,Platygyra,Platygyra,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Platygyra sinensis,Platygyra,Platygyra,12.3,4,3.066485502,0.99,1,NA,1.22,1,NA,5,2,100,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Platygyra verweyi,Platygyra,Platygyra,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,40,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Plerogyra sinuosa,Plerogyra,Plerogyra,NA,NA,NA,0.96,1,NA,NA,NA,NA,22.5,2,120,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Plesiastrea versipora,Plesiastrea,Plesiastrea,4.1375,8,2.529786835,1.08,1,NA,0.45,1,NA,3.75,2,300,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Pleuractis granulosa,Pleuractis,Fungia,5.725658915,129,3.269147405,NA,NA,NA,NA,NA,NA,120,1,13.5,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Pleuractis moluccensis,Pleuractis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1,17,1,0,1,NA,0,0,1,0,1,0,0,0,0,0,1
Pleuractis paumotensis,Pleuractis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,1,25,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Pocillopora acuta,Pocillopora,Pocillopora,51.1,49,20.53383413,1.9683,4,0.180092569,5.38,1,NA,0.9,2,200,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0
Pocillopora cf. verrucosa,Pocillopora,Pocillopora,51.1,49,20.53383413,1.9683,4,0.180092569,5.38,1,NA,0.9,2,200,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
Podabacia crustacea,Podabacia,Podabacia,14.8,2,NA,1.52,1,NA,2.26,1,NA,2.45,2,150,2,1,NA,0,NA,0,1,1,0,0,0,0,0,0,1
Podabacia kunzmanni,Podabacia,Podabacia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,1,0,0,0,0,0,0,1
Podabacia motuporensis,Podabacia,Podabacia,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,2,10,1,1,NA,NA,NA,0,1,1,0,0,0,0,0,0,1
Polyphyllia talpina,Polyphyllia,Polyphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
Porites australiensis,Porites,Porites,12.46153846,13,4.556229885,1.325,1,NA,1.65,1,NA,1.233333333,3,50,1,1,1,NA,1,0,0,0,1,0,0,1,0,0,0
Porites cylindrica,Porites,Porites,18.35766667,6,8.987622459,1.42,2,0.056568542,0.74,2,NA,0.95,2,1000,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
Porites deformis,Porites,Porites,NA,NA,NA,1,1,NA,NA,NA,NA,1.4,2,40,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1
Porites lichen,Porites,Porites,16.3,1,NA,NA,NA,NA,NA,NA,NA,1.35,2,NA,NA,1,0,1,NA,0,0,1,0,1,0,0,0,0,1
Porites lobata,Porites,Porites,9.847502783,77,4.678576448,1.2225,47,0.129351538,0.891,6,0.56348913,1,2,685,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0
Porites lutea,Porites,Porites,17.6,73,6.031795803,1.1732,43,0.200490277,1.9727,23,0.584019682,1.1,3,400,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
Porites monticulosa,Porites,Porites,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,100,1,1,NA,NA,NA,1,2,1,1,0,0,0,0,0,1
Porites murrayensis,Porites,Porites,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,20,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1
Porites nigrescens,Porites,Porites,17.8,1,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,1,NA,NA,NA,1,1,0,0,0,0,0,0,0,1
Porites rus,Porites,Porites,14.9,4,9.924087061,1.03,1,NA,0.61,1,NA,0.7,2,500,2,1,1,0,1,0,1,1,0,2,0,0,1,0,0
Porites solida,Porites,Porites,13.46,5,5.167978328,1.194,1,NA,1.61,1,NA,1.45,2,NA,NA,1,1,0,1,0,0,0,1,0,0,0,0,0,1
Porites stephensoni,Porites,Porites,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,10,3,1,0,NA,1,0,1,0,1,1,0,0,0,0,1
Porites vaughani,Porites,Porites,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,20,1,1,NA,NA,NA,0,1,1,0,1,0,0,0,0,1
Psammocora contigua,Psammocora,Psammocora,25.9,2,NA,1.51,1,NA,3.92,1,NA,1.3,2,50,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1
Psammocora haimiana,Psammocora,Psammocora,29.5,2,0.707106781,1.39,1,NA,4.1,1,NA,3.15,2,150,1,1,1,NA,0,0,0,0,0,1,0,0,0,0,1
Psammocora nierstraszi,Psammocora,Psammocora,3.566666667,3,2.294195574,NA,NA,NA,NA,NA,NA,1.55,2,30,1,1,1,NA,0,0,1,0,0,1,0,0,0,1,0
Psammocora profundacella,Psammocora,Psammocora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,2,NA,NA,1,1,NA,0,0,0,1,0,1,0,0,0,0,1
Pseudosiderastrea tayamai,Pseudosiderastrea,Pseudosiderastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,16,3,1,1,NA,0,0,1,0,1,0,0,0,0,0,1
Scapophyllia cylindrica,Scapophyllia,Scapophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,2,NA,NA,1,1,1,NA,0,1,0,0,1,0,0,0,0,1
Seriatopora hystrix,Seriatopora,Seriatopora,32.7,4,16.83389438,2.2,1,NA,2.88,1,NA,0.7,2,NA,NA,1,0,1,1,1,0,0,0,0,0,0,1,0,0
Stylocoeniella armata,Stylocoeniella,Stylocoeniella,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,1,0,NA,1,0,1,0,0,0,0,0,0,0,1
Stylophora pistillata,Stylophora,Stylophora,20.92157326,24,8.196848337,1.7031045,25,0.234457009,1.43,1,NA,1.15,2,NA,NA,1,0,1,1,1,0,0,0,1,0,0,1,0,0
Trachyphyllia geoffroyi,Trachyphyllia,Trachyphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,8,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Tubastraea aurea,Tubastraea,Tubastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,1,0,0,0,0,0,0,0,0,1
Tubastraea coccinea,Tubastraea,Tubastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,1,0,0,0,0,0,0,0,0,1
Tubastraea diaphana,Tubastraea,Tubastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,0,0,0,0,0,0,0,0,1
Tubastraea micranthus,Tubastraea,Tubastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,1
Turbinaria frondens,Turbinaria,Turbinaria,14,1,NA,NA,NA,NA,NA,NA,NA,1,2,400,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Turbinaria irregularis,Turbinaria,Turbinaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,1,1,NA,0,0,1,1,0,0,0,0,0,0,1
Turbinaria mesenterina,Turbinaria,Turbinaria,19.28,1,NA,1.13,1,NA,2.19,1,NA,2.9,2,110,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Turbinaria radicalis,Turbinaria,Turbinaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,100,1,1,1,NA,0,0,1,0,0,0,0,0,0,0,1
Turbinaria reniformis,Turbinaria,Turbinaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,500,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
Turbinaria stellulata,Turbinaria,Turbinaria,17.5,1,NA,NA,NA,NA,NA,NA,NA,2.7,2,40,1,1,1,NA,0,0,1,0,1,0,0,0,0,0,1
