spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,gf.branching,gf.encrusting,gf.laminar,gf.massive,gf.submassive,lh.competitive,lh.stress-tolerant,lh.weedy,lh.generalist,lh.datadeficient
Acropora polystoma,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,80,2,1,1,1,0,2,0,0,0,0,1,0,0,0,0
Acropora pulchra,Acropora,Acropora,130.9,4,81.04990232,1.9,1,NA,1.91,1,NA,0.9,2,500,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora robusta,Acropora,Acropora,22.4,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora samoensis,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,100,1,1,1,1,0,2,0,0,0,1,1,0,0,0,0
Acropora secale,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,100,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora selago,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,75,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Acropora solitaryensis,Acropora,Acropora,16.7,1,NA,1.45,1,NA,1.91,1,NA,0.8,2,300,5,1,1,1,0,0,0,1,0,0,1,0,0,0,0
Acropora spicifera,Acropora,Acropora,111,3,10.92336944,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Acropora subglabra,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Acropora subulata,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,300,4,1,1,1,0,0,0,1,0,0,1,0,0,0,0
Acropora tenuis,Acropora,Acropora,87,1,NA,1.32,1,NA,1.91,1,NA,1,2,40,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora valenciennesi,Acropora,Acropora,179.3333333,6,103.5850697,NA,NA,NA,NA,NA,NA,1.15,2,400,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora valida,Acropora,Acropora,52.1,4,15.13208512,1.295,3,0.254558441,1.42,1,NA,0.7,2,150,3,1,1,1,0,2,0,1,0,0,1,0,0,0,0
Acropora verweyi,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora willisae,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,100,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Alveopora allingi,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,NA,NA,1,NA,NA,NA,0,1,0,0,2,0,0,0,0,1
Alveopora catalai,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,1000,3,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,1
Alveopora excelsa,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,2,200,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1
Alveopora fenestrata,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2,NA,NA,1,1,NA,0,0,0,0,1,1,0,1,0,0,0
Alveopora marionensis,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1
Alveopora spongiosa,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,200,2,1,NA,NA,NA,0,1,0,0,2,0,0,0,0,1
Alveopora tizardi,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2,5,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
Astrea annuligera,Astrea,Montastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,2,NA,NA,1,1,NA,NA,0,1,0,0,0,0,0,0,0,1
Astrea curta,Astrea,Montastraea,2.6,2,0.141421356,NA,NA,NA,NA,NA,NA,8.15,2,NA,NA,1,1,1,0,0,1,0,1,1,0,1,0,0,0
Astreopora cucullata,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,2,NA,NA,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Astreopora expansa,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,100,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Astreopora gracilis,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,50,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Astreopora incrustans,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,100,1,1,1,NA,0,0,1,1,0,1,0,0,0,0,1
Astreopora listeri,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2,200,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Astreopora myriophthalma,Astreopora,Astreopora,7.75,2,3.535533906,0.83,1,NA,0.64,1,NA,2.2,2,100,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Bernardpora stutchburyi,Bernardpora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,25,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Caulastraea echinulata,Caulastraea,Caulastraea,NA,NA,NA,1.11,1,NA,NA,NA,NA,11.6,2,60,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1
Caulastraea furcata,Caulastraea,Caulastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,500,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Cladopsammia gracilis,Cladopsammia,Tubastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1
Coelastrea incrustans,Coelastrea,Goniastrea,4,2,0.141421356,1.35,1,NA,0.54,1,NA,10,2,500,2,1,1,1,0,0,1,0,1,0,0,0,1,0,0
Coelastrea palauensis,Coelastrea,Goniastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,2,20,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Coscinaraea columna,Coscinaraea,Coscinaraea,NA,NA,NA,1.41,1,NA,NA,NA,NA,4.75,2,80,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
Coscinaraea exesa,Coscinaraea,Coscinaraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,2,NA,NA,1,1,NA,0,0,0,0,0,1,0,0,0,0,1
Ctenactis albitentaculata,Ctenactis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,1,NA,NA,0,1,NA,0,0,0,0,1,0,0,0,0,0,1
Ctenactis crassa,Ctenactis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,1,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Ctenactis echinata,Ctenactis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,1,50,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Cycloseris costulata,Cycloseris,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,2,8,3,0,NA,NA,0,0,0,0,1,0,0,0,0,0,1
Cycloseris explanulata,Cycloseris,Psammocora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,0,1,NA,0,0,1,1,1,0,0,0,0,0,1
Cycloseris mokai,Cycloseris,Lithophyllon,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2,10,3,0,NA,NA,0,0,0,0,1,0,0,0,0,0,1
Cycloseris vaughani,Cycloseris,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,1,NA,NA,0,1,NA,0,0,0,0,1,0,0,0,0,0,1
Cyphastrea chalcidicum,Cyphastrea,Cyphastrea,NA,NA,NA,0.93,1,NA,NA,NA,NA,2.2,2,100,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Cyphastrea microphthalma,Cyphastrea,Cyphastrea,8.4,1,NA,1.35,1,NA,1.13,1,NA,2.15,2,30,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Cyphastrea serailia,Cyphastrea,Cyphastrea,5.9,4,3.609247382,1.12,1,NA,0.55,1,NA,1.9,2,30,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
Danafungia horrida,Danafungia,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,1,20,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Danafungia scruposa,Danafungia,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,1,26,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Diploastrea heliopora,Diploastrea,Diploastrea,8.8,31,0.35286272,1.24,1,NA,1.1,1,NA,8,2,700,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Dipsastraea amicorum,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,2,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Dipsastraea danai,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,15,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1
Dipsastraea favus,Dipsastraea,Favia,12.7,1,NA,0.91,1,NA,1.15,1,NA,8.833333333,3,40,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Dipsastraea helianthoides,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,2,NA,NA,1,1,NA,0,0,0,0,0,1,0,0,0,0,1
Dipsastraea laxa,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Dipsastraea lizardensis,Dipsastraea,Favia,NA,NA,NA,0.89,1,NA,NA,NA,NA,13.35,2,100,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Dipsastraea maritima,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,2,NA,NA,1,1,NA,0,0,0,0,1,0,0,0,0,0,1
Dipsastraea matthaii,Dipsastraea,Favia,NA,NA,NA,1.02,1,NA,NA,NA,NA,11.3,2,40,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Dipsastraea maxima,Dipsastraea,Favia,NA,NA,NA,0.91,1,NA,NA,NA,NA,26,2,7,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1
Dipsastraea mirabilis,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,2,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Dipsastraea pallida,Dipsastraea,Favia,4.533333333,3,1.201388086,1.43,1,NA,0.61,1,NA,8.5,2,10,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Dipsastraea rotumana,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,2,NA,NA,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Dipsastraea speciosa,Dipsastraea,Favia,6.378571429,14,1.543810755,1.05,1,NA,0.67,1,NA,8.7,2,75,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Dipsastraea veroni,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.75,2,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1
